Dia,Energia Diaria [kW-h]
1,0.7748069435026298
2,0.7750445572083947
3,0.7753000950803235
4,0.7756666558659261
5,0.7758625471402733
6,0.776261855051767
7,0.7764888968442394
8,0.776824082853857
9,0.7772666365083418
10,0.7776279578616195
11,0.7780008682765486
12,0.7782903561265605
13,0.7787772254765514
14,0.7790843819132326
15,0.7794926565557198
16,0.7800009404339182
17,0.780325548781433
18,0.780747568216012
19,0.7811715068596835
20,0.7815959731664937
21,0.7820195434045608
22,0.7824407644684065
23,0.7828581567744074
24,0.7833647041985722
25,0.783769951852294
26,0.784072231007872
27,0.7845537004769192
28,0.7848344279043977
29,0.7851966759896115
30,0.7855442540630668
31,0.7859703453292635
32,0.7862838800356785
33,0.7865780131457946
34,0.7868511807844659
35,0.7871018309468013
36,0.7872335157126062
37,0.7874345158092008
38,0.7877034022160494
39,0.7878488121687233
40,0.7878692490433771
41,0.7879532578346472
42,0.7880994911716034
43,0.7881165999248965
44,0.7880032644554644
45,0.7879482435947583
46,0.7878553079966175
47,0.7878182755463988
48,0.7876460239074858
49,0.7874324803945355
50,0.787081686207864
51,0.7867825755470054
52,0.786534158378771
53,0.7860509429149388
54,0.7856167757552723
55,0.7851360449711533
56,0.7847027913247264
57,0.7841269317313063
58,0.7835026827363951
59,0.7828295652548379
60,0.7820126987694099
61,0.7813351340934214
62,0.7804188740527199
63,0.7795468810652786
64,0.7787187541496801
65,0.7777460277126071
66,0.7766289612749502
67,0.775555606608564
68,0.7745257630571547
69,0.7733520094843661
70,0.7720349214294231
71,0.7708553234808299
72,0.7695330478667167
73,0.7680688976571224
74,0.7667427247988782
75,0.7652756902640507
76,0.7637615101841603
77,0.76210828543233
78,0.7605019624161591
79,0.7588505949660705
80,0.7571549841881434
81,0.7555078719260191
82,0.7536344776188288
83,0.7518114194850564
84,0.750039147165659
85,0.7480446149087141
86,0.7461939409388694
87,0.7441239304062187
88,0.7421992530177306
89,0.7400583373485391
90,0.7379741554483467
91,0.7358573564682399
92,0.7337092069636333
93,0.7316205485492856
94,0.7293240570959676
95,0.7271788291320943
96,0.7248293523246332
97,0.7225443423122813
98,0.7203245270955917
99,0.7179060292212511
100,0.7155555862236004
101,0.7131862172476283
102,0.7107993875641069
103,0.708483835314241
104,0.7059792635382908
105,0.703635732659458
106,0.7011936814538698
107,0.6987416417068105
108,0.6962811288300952
109,0.6937278576054168
110,0.6912552062422694
111,0.6888639613652038
112,0.6862997118842633
113,0.6839047382640585
114,0.681340798674758
115,0.6788638707025948
116,0.6763906567945714
117,0.673922674196105
118,0.6714614360232591
119,0.6690084505133049
120,0.6665652203020342
121,0.6641332417255994
122,0.6617140041446264
123,0.6593089892883224
124,0.6569196706162989
125,0.6545475126958373
126,0.6521939705923449
127,0.649860489270782
128,0.6475485030058937
129,0.6453403917233345
130,0.6429946958002003
131,0.6407556847313096
132,0.6385437873121691
133,0.6363603756840112
134,0.6342068078309091
135,0.6321640565637645
136,0.6299945610969114
137,0.6279385221217367
138,0.6259176055331798
139,0.6239330896509215
140,0.6219862350285496
141,0.6200782838184404
142,0.6182886859810898
143,0.6164620061220765
144,0.6145999824914212
145,0.6129373598849844
146,0.6111641836081676
147,0.6095919692197297
148,0.6079120926049886
149,0.6064346824354258
150,0.6049292389653145
151,0.6034739646175112
152,0.6020698536701068
153,0.6006414315936907
154,0.59934265385848
155,0.5981740338539253
156,0.5969079060789015
157,0.5957736683092205
158,0.5947717927138938
159,0.5936755637664474
160,0.5927132402304547
161,0.5918097092456949
162,0.5909656580299734
163,0.590257109867011
164,0.5894585666216952
165,0.5887967212200985
166,0.5882719099960954
167,0.5876591361740077
168,0.5871843624600465
169,0.5868478638922768
170,0.5864999494606136
171,0.5862160211299813
172,0.5859214489358535
173,0.5857663613967441
174,0.5857509187693037
175,0.5857254826025526
176,0.5856901863290744
177,0.5857948957711512
178,0.5859647439443444
179,0.586199713898431
180,0.5865747176545762
181,0.5868647145286251
182,0.5872944731719515
183,0.5877888087582114
184,0.5884226219436824
185,0.5890453518559408
186,0.5896564576094107
187,0.5904060352004994
188,0.5912184100916161
189,0.5921686083299976
190,0.5931051084533543
191,0.5941027501954073
192,0.5950850516725297
193,0.596202857063496
194,0.5973796921139731
195,0.5986147573493108
196,0.5999835159091365
197,0.6012561402196209
198,0.6026606201556829
199,0.604119656049161
200,0.6056322131880106
201,0.6072742513676419
202,0.608813527989978
203,0.6104799944489895
204,0.6122729407624999
205,0.6139584987266029
206,0.6157679947618372
207,0.617622559833226
208,0.6195208263455347
209,0.6214613903421
210,0.623442812895561
211,0.6254636215613982
212,0.6275223118921093
213,0.6296173490096416
214,0.6317471692334917
215,0.6339101817616706
216,0.636104770401551
217,0.63832929534742
218,0.6406624659049639
219,0.6428614878341598
220,0.6451657742819735
221,0.6474932386759763
222,0.6498421512000664
223,0.6522922973953458
224,0.6545973425522363
225,0.6570001089505834
226,0.6594173026693757
227,0.6619296376040634
228,0.6642878881460718
229,0.666820704322068
230,0.6692781360428414
231,0.6717411432446081
232,0.6741242641634263
233,0.6765929046066884
234,0.6790618654255893
235,0.681613850642669
236,0.6840785194116713
237,0.6864534402027196
238,0.6889065297325181
239,0.6913514468590404
240,0.6937865495600183
241,0.6962102187807621
242,0.6986208601091072
243,0.7010169053995337
244,0.7034834077188765
245,0.7058459021783253
246,0.7081022101897948
247,0.7105120547926658
248,0.7128128503608189
249,0.7150025378676204
250,0.7173429828248359
251,0.719481492702246
252,0.7217690666173228
253,0.7238513383688735
254,0.7259922990503592
255,0.7281024082428824
